🔁 Backfilling project_audio from legacy projects...

📦 Legacy projects found: 118890

⏳ 8000/118890 (7%) | inserted=3084 | alreadyHadAudio=4916 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=9209
⏳ 8200/118890 (7%) | inserted=3092 | alreadyHadAudio=5108 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=9424
⏳ 8400/118890 (7%) | inserted=3240 | alreadyHadAudio=5160 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=9659
⏳ 8600/118890 (7%) | inserted=3244 | alreadyHadAudio=5356 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=9902
⏳ 8800/118890 (7%) | inserted=3244 | alreadyHadAudio=5556 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=10120
⏳ 9000/118890 (8%) | inserted=3252 | alreadyHadAudio=5748 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=10371
⏳ 9200/118890 (8%) | inserted=3387 | alreadyHadAudio=5813 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=10588
⏳ 9400/118890 (8%) | inserted=3387 | alreadyHadAudio=6013 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=10794
⏳ 9600/118890 (8%) | inserted=3445 | alreadyHadAudio=6155 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=11012
⏳ 9800/118890 (8%) | inserted=3482 | alreadyHadAudio=6318 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=11251
⏳ 10000/118890 (8%) | inserted=3482 | alreadyHadAudio=6518 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=11496
⏳ 10200/118890 (9%) | inserted=3490 | alreadyHadAudio=6710 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=11710
⏳ 10400/118890 (9%) | inserted=3673 | alreadyHadAudio=6727 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=11926
⏳ 10600/118890 (9%) | inserted=3860 | alreadyHadAudio=6740 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=12179
⏳ 10800/118890 (9%) | inserted=4010 | alreadyHadAudio=6790 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=12455
⏳ 11000/118890 (9%) | inserted=4017 | alreadyHadAudio=6983 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=12698
⏳ 11200/118890 (9%) | inserted=4070 | alreadyHadAudio=7130 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=12927
⏳ 11400/118890 (10%) | inserted=4110 | alreadyHadAudio=7290 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=13169
⏳ 11600/118890 (10%) | inserted=4195 | alreadyHadAudio=7405 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=13380
⏳ 11800/118890 (10%) | inserted=4389 | alreadyHadAudio=7411 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=13635
⏳ 12000/118890 (10%) | inserted=4589 | alreadyHadAudio=7411 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=13928
⏳ 12200/118890 (10%) | inserted=4777 | alreadyHadAudio=7423 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=14170
⏳ 12400/118890 (10%) | inserted=4802 | alreadyHadAudio=7598 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=14403
⏳ 12600/118890 (11%) | inserted=4870 | alreadyHadAudio=7730 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=14655
⏳ 12800/118890 (11%) | inserted=4984 | alreadyHadAudio=7816 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=14885
⏳ 13000/118890 (11%) | inserted=5184 | alreadyHadAudio=7816 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=15158
⏳ 13200/118890 (11%) | inserted=5382 | alreadyHadAudio=7818 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=15408
⏳ 13400/118890 (11%) | inserted=5409 | alreadyHadAudio=7991 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=15617
⏳ 13600/118890 (11%) | inserted=5582 | alreadyHadAudio=8018 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=15837
⏳ 13800/118890 (12%) | inserted=5748 | alreadyHadAudio=8052 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=16053
⏳ 14000/118890 (12%) | inserted=5778 | alreadyHadAudio=8222 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=16261
⏳ 14200/118890 (12%) | inserted=5960 | alreadyHadAudio=8240 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=16496
⏳ 14400/118890 (12%) | inserted=5965 | alreadyHadAudio=8435 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=16719
⏳ 14600/118890 (12%) | inserted=5990 | alreadyHadAudio=8610 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=16935
⏳ 14800/118890 (12%) | inserted=6190 | alreadyHadAudio=8610 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0 | lastLegacyId=17141
