🔁 Backfilling project_audio from legacy projects...

📦 Legacy projects found: 118890

⏳ 9400/118890 (8%) | inserted=9122 | alreadyHadAudio=278 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 9600/118890 (8%) | inserted=9322 | alreadyHadAudio=278 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 9800/118890 (8%) | inserted=9522 | alreadyHadAudio=278 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 10000/118890 (8%) | inserted=9722 | alreadyHadAudio=278 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 10200/118890 (9%) | inserted=9922 | alreadyHadAudio=278 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 10400/118890 (9%) | inserted=10122 | alreadyHadAudio=278 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 10600/118890 (9%) | inserted=10322 | alreadyHadAudio=278 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 10800/118890 (9%) | inserted=10522 | alreadyHadAudio=278 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 11000/118890 (9%) | inserted=10722 | alreadyHadAudio=278 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 11200/118890 (9%) | inserted=10922 | alreadyHadAudio=278 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 11400/118890 (10%) | inserted=11122 | alreadyHadAudio=278 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 11600/118890 (10%) | inserted=11322 | alreadyHadAudio=278 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 11800/118890 (10%) | inserted=11522 | alreadyHadAudio=278 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 12000/118890 (10%) | inserted=11683 | alreadyHadAudio=317 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 12200/118890 (10%) | inserted=11883 | alreadyHadAudio=317 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 12400/118890 (10%) | inserted=12023 | alreadyHadAudio=377 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 12600/118890 (11%) | inserted=12223 | alreadyHadAudio=377 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 12800/118890 (11%) | inserted=12423 | alreadyHadAudio=377 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 13000/118890 (11%) | inserted=12545 | alreadyHadAudio=455 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 13200/118890 (11%) | inserted=12745 | alreadyHadAudio=455 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 13400/118890 (11%) | inserted=12945 | alreadyHadAudio=455 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 13600/118890 (11%) | inserted=13145 | alreadyHadAudio=455 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 13800/118890 (12%) | inserted=13269 | alreadyHadAudio=531 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 14000/118890 (12%) | inserted=13278 | alreadyHadAudio=722 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 14200/118890 (12%) | inserted=13478 | alreadyHadAudio=722 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 14400/118890 (12%) | inserted=13678 | alreadyHadAudio=722 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 14600/118890 (12%) | inserted=13878 | alreadyHadAudio=722 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 14800/118890 (12%) | inserted=14078 | alreadyHadAudio=722 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 15000/118890 (13%) | inserted=14278 | alreadyHadAudio=722 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 15200/118890 (13%) | inserted=14478 | alreadyHadAudio=722 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 15400/118890 (13%) | inserted=14678 | alreadyHadAudio=722 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 15600/118890 (13%) | inserted=14878 | alreadyHadAudio=722 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 15800/118890 (13%) | inserted=15078 | alreadyHadAudio=722 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 16000/118890 (13%) | inserted=15278 | alreadyHadAudio=722 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 16200/118890 (14%) | inserted=15478 | alreadyHadAudio=722 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 16400/118890 (14%) | inserted=15678 | alreadyHadAudio=722 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 16600/118890 (14%) | inserted=15824 | alreadyHadAudio=776 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 16800/118890 (14%) | inserted=16024 | alreadyHadAudio=776 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 17000/118890 (14%) | inserted=16224 | alreadyHadAudio=776 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 17200/118890 (14%) | inserted=16394 | alreadyHadAudio=806 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 17400/118890 (15%) | inserted=16594 | alreadyHadAudio=806 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 17600/118890 (15%) | inserted=16794 | alreadyHadAudio=806 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 17800/118890 (15%) | inserted=16994 | alreadyHadAudio=806 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 18000/118890 (15%) | inserted=17194 | alreadyHadAudio=806 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 18200/118890 (15%) | inserted=17394 | alreadyHadAudio=806 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 18400/118890 (15%) | inserted=17507 | alreadyHadAudio=893 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 18600/118890 (16%) | inserted=17707 | alreadyHadAudio=893 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 18800/118890 (16%) | inserted=17751 | alreadyHadAudio=1049 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 19000/118890 (16%) | inserted=17951 | alreadyHadAudio=1049 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 19200/118890 (16%) | inserted=18151 | alreadyHadAudio=1049 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 19400/118890 (16%) | inserted=18212 | alreadyHadAudio=1188 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 19600/118890 (16%) | inserted=18372 | alreadyHadAudio=1228 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 19800/118890 (17%) | inserted=18572 | alreadyHadAudio=1228 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 20000/118890 (17%) | inserted=18772 | alreadyHadAudio=1228 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 20200/118890 (17%) | inserted=18972 | alreadyHadAudio=1228 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 20400/118890 (17%) | inserted=19038 | alreadyHadAudio=1362 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 20600/118890 (17%) | inserted=19238 | alreadyHadAudio=1362 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 20800/118890 (17%) | inserted=19240 | alreadyHadAudio=1560 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 21000/118890 (18%) | inserted=19272 | alreadyHadAudio=1728 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 21200/118890 (18%) | inserted=19472 | alreadyHadAudio=1728 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 21400/118890 (18%) | inserted=19672 | alreadyHadAudio=1728 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 21600/118890 (18%) | inserted=19712 | alreadyHadAudio=1888 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 21800/118890 (18%) | inserted=19765 | alreadyHadAudio=2035 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 22000/118890 (19%) | inserted=19965 | alreadyHadAudio=2035 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 22200/118890 (19%) | inserted=20044 | alreadyHadAudio=2156 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 22400/118890 (19%) | inserted=20244 | alreadyHadAudio=2156 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 22600/118890 (19%) | inserted=20444 | alreadyHadAudio=2156 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 22800/118890 (19%) | inserted=20478 | alreadyHadAudio=2322 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 23000/118890 (19%) | inserted=20678 | alreadyHadAudio=2322 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 23200/118890 (20%) | inserted=20878 | alreadyHadAudio=2322 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 23400/118890 (20%) | inserted=21078 | alreadyHadAudio=2322 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 23600/118890 (20%) | inserted=21278 | alreadyHadAudio=2322 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 23800/118890 (20%) | inserted=21351 | alreadyHadAudio=2449 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 24000/118890 (20%) | inserted=21384 | alreadyHadAudio=2616 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 24200/118890 (20%) | inserted=21419 | alreadyHadAudio=2781 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 24400/118890 (21%) | inserted=21619 | alreadyHadAudio=2781 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
⏳ 24600/118890 (21%) | inserted=21732 | alreadyHadAudio=2868 | skippedNoAudioUrl=0 | skippedNoVoice=0 | failed=0
