🚀 Starting projects + audio migration: Thu Dec 11 23:13:44 -05 2025
\n=== (1/3) Migrating projects to DB ===
🚀 Starting Projects Migration

==================================================
📦 Found 120091 legacy projects to process

📋 Loading legacy users mapping...
   Found 48404 legacy users with Supabase IDs

📋 Loading existing migrated projects...
   Found 1 already migrated projects

📋 120090 projects to migrate (1 already done)


⏳ Progress: 14200/120090 (12%) - Migrated: 14032, Skipped: 168, Failed: 0
⏳ Progress: 14400/120090 (12%) - Migrated: 14232, Skipped: 168, Failed: 0
⏳ Progress: 14600/120090 (12%) - Migrated: 14432, Skipped: 168, Failed: 0
⏳ Progress: 14800/120090 (12%) - Migrated: 14632, Skipped: 168, Failed: 0
⏳ Progress: 15000/120090 (12%) - Migrated: 14832, Skipped: 168, Failed: 0
⏳ Progress: 15200/120090 (13%) - Migrated: 15032, Skipped: 168, Failed: 0
⏳ Progress: 15400/120090 (13%) - Migrated: 15232, Skipped: 168, Failed: 0
⏳ Progress: 15600/120090 (13%) - Migrated: 15432, Skipped: 168, Failed: 0
⏳ Progress: 15800/120090 (13%) - Migrated: 15632, Skipped: 168, Failed: 0
⏳ Progress: 16000/120090 (13%) - Migrated: 15832, Skipped: 168, Failed: 0
⏳ Progress: 16200/120090 (13%) - Migrated: 16032, Skipped: 168, Failed: 0
⏳ Progress: 16400/120090 (14%) - Migrated: 16232, Skipped: 168, Failed: 0
⏳ Progress: 16600/120090 (14%) - Migrated: 16432, Skipped: 168, Failed: 0
⏳ Progress: 16800/120090 (14%) - Migrated: 16632, Skipped: 168, Failed: 0
⏳ Progress: 17000/120090 (14%) - Migrated: 16832, Skipped: 168, Failed: 0
⏳ Progress: 17200/120090 (14%) - Migrated: 17032, Skipped: 168, Failed: 0
⏳ Progress: 17400/120090 (14%) - Migrated: 17232, Skipped: 168, Failed: 0
⏳ Progress: 17600/120090 (15%) - Migrated: 17432, Skipped: 168, Failed: 0
⏳ Progress: 17800/120090 (15%) - Migrated: 17632, Skipped: 168, Failed: 0
⏳ Progress: 18000/120090 (15%) - Migrated: 17832, Skipped: 168, Failed: 0
⏳ Progress: 18200/120090 (15%) - Migrated: 18032, Skipped: 168, Failed: 0
⏳ Progress: 18400/120090 (15%) - Migrated: 18232, Skipped: 168, Failed: 0
⏳ Progress: 18600/120090 (15%) - Migrated: 18432, Skipped: 168, Failed: 0
⏳ Progress: 18800/120090 (16%) - Migrated: 18632, Skipped: 168, Failed: 0
⏳ Progress: 19000/120090 (16%) - Migrated: 18832, Skipped: 168, Failed: 0
⏳ Progress: 19200/120090 (16%) - Migrated: 19032, Skipped: 168, Failed: 0
⏳ Progress: 19400/120090 (16%) - Migrated: 19232, Skipped: 168, Failed: 0
⏳ Progress: 19600/120090 (16%) - Migrated: 19432, Skipped: 168, Failed: 0
⏳ Progress: 19800/120090 (16%) - Migrated: 19632, Skipped: 168, Failed: 0
⏳ Progress: 20000/120090 (17%) - Migrated: 19832, Skipped: 168, Failed: 0
⏳ Progress: 20200/120090 (17%) - Migrated: 20032, Skipped: 168, Failed: 0
⏳ Progress: 20400/120090 (17%) - Migrated: 20232, Skipped: 168, Failed: 0
⏳ Progress: 20600/120090 (17%) - Migrated: 20432, Skipped: 168, Failed: 0
⏳ Progress: 20800/120090 (17%) - Migrated: 20632, Skipped: 168, Failed: 0
⏳ Progress: 21000/120090 (17%) - Migrated: 20832, Skipped: 168, Failed: 0
⏳ Progress: 21200/120090 (18%) - Migrated: 21032, Skipped: 168, Failed: 0
⏳ Progress: 21400/120090 (18%) - Migrated: 21232, Skipped: 168, Failed: 0
⏳ Progress: 21600/120090 (18%) - Migrated: 21432, Skipped: 168, Failed: 0
⏳ Progress: 21800/120090 (18%) - Migrated: 21632, Skipped: 168, Failed: 0
⏳ Progress: 22000/120090 (18%) - Migrated: 21832, Skipped: 168, Failed: 0
⏳ Progress: 22200/120090 (18%) - Migrated: 22032, Skipped: 168, Failed: 0
⏳ Progress: 22400/120090 (19%) - Migrated: 22232, Skipped: 168, Failed: 0
⏳ Progress: 22600/120090 (19%) - Migrated: 22428, Skipped: 172, Failed: 0
⏳ Progress: 22800/120090 (19%) - Migrated: 22628, Skipped: 172, Failed: 0
⏳ Progress: 23000/120090 (19%) - Migrated: 22828, Skipped: 172, Failed: 0
⏳ Progress: 23200/120090 (19%) - Migrated: 23028, Skipped: 172, Failed: 0
⏳ Progress: 23400/120090 (19%) - Migrated: 23228, Skipped: 172, Failed: 0
⏳ Progress: 23600/120090 (20%) - Migrated: 23428, Skipped: 172, Failed: 0
⏳ Progress: 23800/120090 (20%) - Migrated: 23628, Skipped: 172, Failed: 0
⏳ Progress: 24000/120090 (20%) - Migrated: 23828, Skipped: 172, Failed: 0
⏳ Progress: 24200/120090 (20%) - Migrated: 24028, Skipped: 172, Failed: 0
⏳ Progress: 24400/120090 (20%) - Migrated: 24228, Skipped: 172, Failed: 0
⏳ Progress: 24600/120090 (20%) - Migrated: 24428, Skipped: 172, Failed: 0
⏳ Progress: 24800/120090 (21%) - Migrated: 24628, Skipped: 172, Failed: 0
⏳ Progress: 25000/120090 (21%) - Migrated: 24828, Skipped: 172, Failed: 0
⏳ Progress: 25200/120090 (21%) - Migrated: 25028, Skipped: 172, Failed: 0
⏳ Progress: 25400/120090 (21%) - Migrated: 25228, Skipped: 172, Failed: 0
⏳ Progress: 25600/120090 (21%) - Migrated: 25428, Skipped: 172, Failed: 0
⏳ Progress: 25800/120090 (21%) - Migrated: 25628, Skipped: 172, Failed: 0
⏳ Progress: 26000/120090 (22%) - Migrated: 25828, Skipped: 172, Failed: 0
⏳ Progress: 26200/120090 (22%) - Migrated: 26028, Skipped: 172, Failed: 0
⏳ Progress: 26400/120090 (22%) - Migrated: 26228, Skipped: 172, Failed: 0
⏳ Progress: 26600/120090 (22%) - Migrated: 26428, Skipped: 172, Failed: 0
⏳ Progress: 26800/120090 (22%) - Migrated: 26628, Skipped: 172, Failed: 0
⏳ Progress: 27000/120090 (22%) - Migrated: 26828, Skipped: 172, Failed: 0
⏳ Progress: 27200/120090 (23%) - Migrated: 27028, Skipped: 172, Failed: 0
⏳ Progress: 27400/120090 (23%) - Migrated: 27228, Skipped: 172, Failed: 0
⏳ Progress: 27600/120090 (23%) - Migrated: 27428, Skipped: 172, Failed: 0
⏳ Progress: 27800/120090 (23%) - Migrated: 27628, Skipped: 172, Failed: 0
⏳ Progress: 28000/120090 (23%) - Migrated: 27828, Skipped: 172, Failed: 0
⏳ Progress: 28200/120090 (23%) - Migrated: 28028, Skipped: 172, Failed: 0
⏳ Progress: 28400/120090 (24%) - Migrated: 28228, Skipped: 172, Failed: 0
⏳ Progress: 28600/120090 (24%) - Migrated: 28428, Skipped: 172, Failed: 0
⏳ Progress: 28800/120090 (24%) - Migrated: 28628, Skipped: 172, Failed: 0
⏳ Progress: 29000/120090 (24%) - Migrated: 28828, Skipped: 172, Failed: 0
⏳ Progress: 29200/120090 (24%) - Migrated: 29028, Skipped: 172, Failed: 0
⏳ Progress: 29400/120090 (24%) - Migrated: 29228, Skipped: 172, Failed: 0
⏳ Progress: 29600/120090 (25%) - Migrated: 29428, Skipped: 172, Failed: 0
⏳ Progress: 29800/120090 (25%) - Migrated: 29628, Skipped: 172, Failed: 0
⏳ Progress: 30000/120090 (25%) - Migrated: 29828, Skipped: 172, Failed: 0
⏳ Progress: 30200/120090 (25%) - Migrated: 30028, Skipped: 172, Failed: 0
⏳ Progress: 30400/120090 (25%) - Migrated: 30228, Skipped: 172, Failed: 0
⏳ Progress: 30600/120090 (25%) - Migrated: 30428, Skipped: 172, Failed: 0
⏳ Progress: 30800/120090 (26%) - Migrated: 30628, Skipped: 172, Failed: 0
⏳ Progress: 31000/120090 (26%) - Migrated: 30828, Skipped: 172, Failed: 0
⏳ Progress: 31200/120090 (26%) - Migrated: 31028, Skipped: 172, Failed: 0
⏳ Progress: 31400/120090 (26%) - Migrated: 31228, Skipped: 172, Failed: 0
⏳ Progress: 31600/120090 (26%) - Migrated: 31428, Skipped: 172, Failed: 0
⏳ Progress: 31800/120090 (26%) - Migrated: 31628, Skipped: 172, Failed: 0
⏳ Progress: 32000/120090 (27%) - Migrated: 31828, Skipped: 172, Failed: 0
⏳ Progress: 32200/120090 (27%) - Migrated: 32028, Skipped: 172, Failed: 0
⏳ Progress: 32400/120090 (27%) - Migrated: 32228, Skipped: 172, Failed: 0
⏳ Progress: 32600/120090 (27%) - Migrated: 32427, Skipped: 173, Failed: 0
⏳ Progress: 32800/120090 (27%) - Migrated: 32627, Skipped: 173, Failed: 0
⏳ Progress: 33000/120090 (27%) - Migrated: 32827, Skipped: 173, Failed: 0
⏳ Progress: 33200/120090 (28%) - Migrated: 33027, Skipped: 173, Failed: 0
⏳ Progress: 33400/120090 (28%) - Migrated: 33227, Skipped: 173, Failed: 0
⏳ Progress: 33600/120090 (28%) - Migrated: 33427, Skipped: 173, Failed: 0
⏳ Progress: 33800/120090 (28%) - Migrated: 33627, Skipped: 173, Failed: 0
⏳ Progress: 34000/120090 (28%) - Migrated: 33827, Skipped: 173, Failed: 0
⏳ Progress: 34200/120090 (28%) - Migrated: 34027, Skipped: 173, Failed: 0
⏳ Progress: 34400/120090 (29%) - Migrated: 34227, Skipped: 173, Failed: 0
⏳ Progress: 34600/120090 (29%) - Migrated: 34427, Skipped: 173, Failed: 0
⏳ Progress: 34800/120090 (29%) - Migrated: 34627, Skipped: 173, Failed: 0
⏳ Progress: 35000/120090 (29%) - Migrated: 34827, Skipped: 173, Failed: 0
⏳ Progress: 35200/120090 (29%) - Migrated: 35027, Skipped: 173, Failed: 0
⏳ Progress: 35400/120090 (29%) - Migrated: 35227, Skipped: 173, Failed: 0
⏳ Progress: 35600/120090 (30%) - Migrated: 35427, Skipped: 173, Failed: 0
⏳ Progress: 35800/120090 (30%) - Migrated: 35627, Skipped: 173, Failed: 0
⏳ Progress: 36000/120090 (30%) - Migrated: 35827, Skipped: 173, Failed: 0
⏳ Progress: 36200/120090 (30%) - Migrated: 36027, Skipped: 173, Failed: 0
⏳ Progress: 36400/120090 (30%) - Migrated: 36227, Skipped: 173, Failed: 0
⏳ Progress: 36600/120090 (30%) - Migrated: 36427, Skipped: 173, Failed: 0
⏳ Progress: 36800/120090 (31%) - Migrated: 36627, Skipped: 173, Failed: 0
⏳ Progress: 37000/120090 (31%) - Migrated: 36827, Skipped: 173, Failed: 0
⏳ Progress: 37200/120090 (31%) - Migrated: 37027, Skipped: 173, Failed: 0
⏳ Progress: 37400/120090 (31%) - Migrated: 37227, Skipped: 173, Failed: 0
⏳ Progress: 37600/120090 (31%) - Migrated: 37427, Skipped: 173, Failed: 0
⏳ Progress: 37800/120090 (31%) - Migrated: 37626, Skipped: 174, Failed: 0
⏳ Progress: 38000/120090 (32%) - Migrated: 37826, Skipped: 174, Failed: 0
